player_id,matchweek,date,team,opp,score,fpts,min,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,cs,player_name,injured,ga,sv,pks,hcs,sm,position,season,last_minutes,season_minutes,last_g,season_g,g_per_min_gameweek,g_per_min_season,g_per_90_gameweek,g_per_90_season,last_kp,season_kp,kp_per_min_gameweek,kp_per_min_season,kp_per_90_gameweek,kp_per_90_season,last_at,season_at,at_per_min_gameweek,at_per_min_season,at_per_90_gameweek,at_per_90_season,last_sot,season_sot,sot_per_min_gameweek,sot_per_min_season,sot_per_90_gameweek,sot_per_90_season,last_tkw,season_tkw,tkw_per_min_gameweek,tkw_per_min_season,tkw_per_90_gameweek,tkw_per_90_season,last_dis,season_dis,dis_per_min_gameweek,dis_per_min_season,dis_per_90_gameweek,dis_per_90_season,last_yc,season_yc,yc_per_min_gameweek,yc_per_min_season,yc_per_90_gameweek,yc_per_90_season,last_rc,season_rc,rc_per_min_gameweek,rc_per_min_season,rc_per_90_gameweek,rc_per_90_season,last_acnc,season_acnc,acnc_per_min_gameweek,acnc_per_min_season,acnc_per_90_gameweek,acnc_per_90_season,last_int,season_int,int_per_min_gameweek,int_per_min_season,int_per_90_gameweek,int_per_90_season,last_clr,season_clr,clr_per_min_gameweek,clr_per_min_season,clr_per_90_gameweek,clr_per_90_season,last_cos,season_cos,cos_per_min_gameweek,cos_per_min_season,cos_per_90_gameweek,cos_per_90_season,last_bs,season_bs,bs_per_min_gameweek,bs_per_min_season,bs_per_90_gameweek,bs_per_90_season,last_aer,season_aer,aer_per_min_gameweek,aer_per_min_season,aer_per_90_gameweek,aer_per_90_season,last_pkm,season_pkm,pkm_per_min_gameweek,pkm_per_min_season,pkm_per_90_gameweek,pkm_per_90_season,last_pkd,season_pkd,pkd_per_min_gameweek,pkd_per_min_season,pkd_per_90_gameweek,pkd_per_90_season,last_og,season_og,og_per_min_gameweek,og_per_min_season,og_per_90_gameweek,og_per_90_season,last_gao,season_gao,gao_per_min_gameweek,gao_per_min_season,gao_per_90_gameweek,gao_per_90_season,last_cs,season_cs,cs_per_min_gameweek,cs_per_min_season,cs_per_90_gameweek,cs_per_90_season,last_ga,season_ga,ga_per_min_gameweek,ga_per_min_season,ga_per_90_gameweek,ga_per_90_season,last_sv,season_sv,sv_per_min_gameweek,sv_per_min_season,sv_per_90_gameweek,sv_per_90_season,last_pks,season_pks,pks_per_min_gameweek,pks_per_min_season,pks_per_90_gameweek,pks_per_90_season,last_hcs,season_hcs,hcs_per_min_gameweek,hcs_per_min_season,hcs_per_90_gameweek,hcs_per_90_season,last_sm,season_sm,sm_per_min_gameweek,sm_per_min_season,sm_per_90_gameweek,sm_per_90_season,home_ind,opp_clean,positional_avg_g_per_90_season,positional_avg_kp_per_90_season,positional_avg_at_per_90_season,positional_avg_sot_per_90_season,positional_avg_tkw_per_90_season,positional_avg_dis_per_90_season,positional_avg_yc_per_90_season,positional_avg_rc_per_90_season,positional_avg_acnc_per_90_season,positional_avg_int_per_90_season,positional_avg_clr_per_90_season,positional_avg_cos_per_90_season,positional_avg_bs_per_90_season,positional_avg_aer_per_90_season,positional_avg_pkm_per_90_season,positional_avg_pkd_per_90_season,positional_avg_og_per_90_season,positional_avg_gao_per_90_season,positional_avg_cs_per_90_season,positional_avg_ga_per_90_season,positional_avg_sv_per_90_season,positional_avg_pks_per_90_season,positional_avg_hcs_per_90_season,positional_avg_sm_per_90_season,team_week_standing,team_week_standing_opp
061vq,24,2026-02-01,MCI,@TOT,T 2-2,16.0,90.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,Erling Haaland,,0.0,0.0,0.0,0.0,0.0,F,2025,16.0,1915.0,0.0,20.0,0.0,0.010443864229765013,0.0,0.9399477806788512,0.0,12.0,0.0,0.006266318537859008,0.0,0.5639686684073107,0.0,4.0,0.0,0.0020887728459530026,0.0,0.18798955613577023,0.0,43.0,0.0,0.022454308093994776,0.0,2.0208877284595297,0.0,7.0,0.0,0.0036553524804177544,0.0,0.3289817232375979,0.0,14.0,0.0,0.007310704960835509,0.0,0.6579634464751958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.001566579634464752,0.0,0.1409921671018277,0.0,30.0,0.0,0.015665796344647518,0.0,1.4099216710182767,0.0,8.0,0.0,0.004177545691906005,0.0,0.37597911227154046,0.0,1.0,0.0,0.0005221932114882506,0.0,0.04699738903394256,0.0,53.0,0.0,0.027676240208877285,0.0,2.490861618798956,0.0,1.0,0.0,0.0005221932114882506,0.0,0.04699738903394256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.010443864229765013,0.0,0.9399477806788512,0.0,10.0,0.0,0.005221932114882507,0.0,0.4699738903394256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,TOT,0.31170435414751096,0.9802472686643094,0.13633785297038065,1.0228120767529991,0.7930550929180511,1.5724547580697386,0.1309439430214945,0.0,0.20774218358940372,0.3323619785769775,0.8818345274992021,1.2162012583267874,0.15079416784262445,1.5330711141829767,0.010119051852598171,0.01620596936312007,0.0,1.9689166736547616,0.21933387472542773,0.0,0.0,0.0,0.0,0.0,5,5
05gcr,24,2026-02-01,MUN,FUL,W 3-2,22.5,90.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Bruno Fernandes,,0.0,0.0,0.0,0.0,0.0,M,2025,90.0,1713.0,0.0,5.0,0.0,0.002918855808523059,0.0,0.2626970227670753,2.0,64.0,0.022222222222222223,0.037361354349095155,2.0,3.362521891418564,1.0,10.0,0.011111111111111112,0.005837711617046118,1.0,0.5253940455341506,0.0,13.0,0.0,0.007589025102159953,0.0,0.6830122591943958,2.0,21.0,0.022222222222222223,0.012259194395796848,2.0,1.1033274956217163,2.0,16.0,0.022222222222222223,0.009340338587273789,2.0,0.840630472854641,0.0,2.0,0.0,0.0011675423234092236,0.0,0.10507880910683012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.008172796263864565,0.0,0.7355516637478109,1.0,12.0,0.011111111111111112,0.0070052539404553416,1.0,0.6304728546409808,0.0,34.0,0.0,0.0198482194979568,0.0,1.7863397548161122,0.0,10.0,0.0,0.005837711617046118,0.0,0.5253940455341506,0.0,5.0,0.0,0.002918855808523059,0.0,0.2626970227670753,0.0,15.0,0.0,0.008756567425569177,0.0,0.7880910683012259,0.0,2.0,0.0,0.0011675423234092236,0.0,0.10507880910683012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,0.022222222222222223,0.017513134851138354,2.0,1.5761821366024518,0.0,2.0,0.0,0.0011675423234092236,0.0,0.10507880910683012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FUL,0.10007527757091313,1.080283042573435,0.1377438210552306,0.42936709793160505,1.125566578264354,1.0643632503066471,0.1569004088028445,0.005631716321184962,0.31952229499334767,0.7009233298601588,1.1280401269552365,0.8652161369539554,0.19866841014635225,0.9563609814702269,0.0006779278006892266,0.014054248705329524,0.00045327491123366316,1.1257181882118177,0.29594512848645577,0.0,0.0,0.0,0.0,0.0,5,5
068y0,24,2026-02-01,MCI,@TOT,T 2-2,12.5,90.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,Antoine Semenyo,,0.0,0.0,0.0,0.0,0.0,F,2025,90.0,1976.0,1.0,11.0,0.011111111111111112,0.005566801619433198,1.0,0.5010121457489878,0.0,27.0,0.0,0.013663967611336033,0.0,1.229757085020243,0.0,5.0,0.0,0.0025303643724696357,0.0,0.22773279352226722,2.0,29.0,0.022222222222222223,0.014676113360323886,2.0,1.3208502024291497,0.0,22.0,0.0,0.011133603238866396,0.0,1.0020242914979756,2.0,38.0,0.022222222222222223,0.019230769230769232,2.0,1.7307692307692308,0.0,6.0,0.0,0.003036437246963563,0.0,0.2732793522267207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0020242914979757085,0.0,0.18218623481781376,3.0,9.0,0.03333333333333333,0.004554655870445344,3.0,0.4099190283400809,1.0,21.0,0.011111111111111112,0.01062753036437247,1.0,0.9564777327935222,0.0,34.0,0.0,0.01720647773279352,0.0,1.548582995951417,0.0,3.0,0.0,0.0015182186234817814,0.0,0.13663967611336034,2.0,49.0,0.022222222222222223,0.02479757085020243,2.0,2.2317813765182186,0.0,1.0,0.0,0.0005060728744939271,0.0,0.04554655870445344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.020242914979757085,0.0,1.8218623481781377,1.0,6.0,0.011111111111111112,0.003036437246963563,1.0,0.2732793522267207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,TOT,0.31170435414751096,0.9802472686643094,0.13633785297038065,1.0228120767529991,0.7930550929180511,1.5724547580697386,0.1309439430214945,0.0,0.20774218358940372,0.3323619785769775,0.8818345274992021,1.2162012583267874,0.15079416784262445,1.5330711141829767,0.010119051852598171,0.01620596936312007,0.0,1.9689166736547616,0.21933387472542773,0.0,0.0,0.0,0.0,0.0,5,5
04agz,24,2026-01-31,ARS,@LEE,W 4-0,9.0,90.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,Declan Rice,,0.0,0.0,0.0,0.0,0.0,M,2025,90.0,1874.0,0.0,4.0,0.0,0.0021344717182497333,0.0,0.192102454642476,4.0,41.0,0.044444444444444446,0.021878335112059766,4.0,1.969050160085379,0.0,7.0,0.0,0.003735325506937033,0.0,0.33617929562433296,0.0,12.0,0.0,0.0064034151547491995,0.0,0.576307363927428,2.0,22.0,0.022222222222222223,0.011739594450373533,2.0,1.056563500533618,1.0,13.0,0.011111111111111112,0.006937033084311633,1.0,0.624332977588047,1.0,2.0,0.011111111111111112,0.0010672358591248667,1.0,0.096051227321238,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.022222222222222223,0.011205976520811099,2.0,1.0085378868729988,1.0,21.0,0.011111111111111112,0.011205976520811099,1.0,1.0085378868729988,0.0,49.0,0.0,0.026147278548559232,0.0,2.3532550693703307,0.0,9.0,0.0,0.0048025613660619,0.0,0.43223052294557096,1.0,10.0,0.011111111111111112,0.005336179295624333,1.0,0.48025613660619,0.0,26.0,0.0,0.013874066168623266,0.0,1.248665955176094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.03333333333333333,0.008537886872998933,3.0,0.768409818569904,0.0,10.0,0.0,0.005336179295624333,0.0,0.48025613660619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LEE,0.1057301069278292,1.0735553110813651,0.14238415407178165,0.3934374950938226,1.0262128444295269,0.9758970246740426,0.21174458702515206,0.005548806881287388,0.27947350460394643,0.6240480259727406,1.3029692655388647,0.7093792769007483,0.22295067132621615,0.9292763677779381,0.0,0.005204454100642821,0.0012886691435456874,1.2211844071424198,0.2552095593518443,0.0,0.0,0.0,0.0,0.0,5,5
04y92,24,,ARS,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,M,2025,90.0,1540.0,0.0,4.0,0.0,0.0025974025974025974,0.0,0.23376623376623376,3.0,43.0,0.03333333333333333,0.02792207792207792,3.0,2.512987012987013,0.0,7.0,0.0,0.004545454545454545,0.0,0.40909090909090906,1.0,21.0,0.011111111111111112,0.013636363636363636,1.0,1.2272727272727273,0.0,12.0,0.0,0.007792207792207792,0.0,0.7012987012987013,1.0,17.0,0.011111111111111112,0.01103896103896104,1.0,0.9935064935064936,0.0,1.0,0.0,0.0006493506493506494,0.0,0.05844155844155844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.011111111111111112,0.012337662337662338,1.0,1.1103896103896105,2.0,6.0,0.022222222222222223,0.003896103896103896,2.0,0.35064935064935066,1.0,5.0,0.011111111111111112,0.003246753246753247,1.0,0.29220779220779225,3.0,38.0,0.03333333333333333,0.024675324675324677,3.0,2.220779220779221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.00974025974025974,0.0,0.8766233766233766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.03333333333333333,0.007792207792207792,3.0,0.7012987012987013,0.0,8.0,0.0,0.005194805194805195,0.0,0.4675324675324675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.03226952637691041,0.4285570313907586,0.091185670775349,0.12721886923842934,0.3781521148494004,0.4941162838085594,0.04809314352690321,0.05646272484927698,0.07459368834078066,0.31491763169939485,0.5589909110941572,0.3856235794041198,0.05206850119293092,0.3471727397511683,9.39312289853423e-05,0.01949866526724611,8.078470069417994e-05,0.7615710594993875,0.05511679139259467,0.0,0.0,0.0,0.0,0.0,5,5
06mn0,24,2026-02-01,BRF,@AVL,W 1-0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,Igor Thiago,,0.0,0.0,0.0,0.0,0.0,F,2025,90.0,1926.0,0.0,16.0,0.0,0.008307372793354102,0.0,0.7476635514018691,0.0,12.0,0.0,0.006230529595015576,0.0,0.5607476635514018,0.0,1.0,0.0,0.0005192107995846313,0.0,0.04672897196261682,0.0,31.0,0.0,0.016095534787123573,0.0,1.4485981308411215,2.0,11.0,0.022222222222222223,0.005711318795430945,2.0,0.5140186915887851,0.0,24.0,0.0,0.012461059190031152,0.0,1.1214953271028036,0.0,4.0,0.0,0.0020768431983385254,0.0,0.18691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0020768431983385254,0.0,0.18691588785046728,1.0,6.0,0.011111111111111112,0.003115264797507788,1.0,0.2803738317757009,1.0,38.0,0.011111111111111112,0.01973001038421599,1.0,1.7757009345794392,1.0,18.0,0.011111111111111112,0.009345794392523364,1.0,0.8411214953271028,0.0,2.0,0.0,0.0010384215991692627,0.0,0.09345794392523364,1.0,54.0,0.011111111111111112,0.028037383177570093,1.0,2.5233644859813085,0.0,1.0,0.0,0.0005192107995846313,0.0,0.04672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,0.022222222222222223,0.01557632398753894,2.0,1.4018691588785046,0.0,5.0,0.0,0.002596053997923157,0.0,0.23364485981308414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,AVL,0.3193188685077322,0.9736064684076318,0.17989837620084273,0.770698923784504,0.5096613221850665,1.7232322093963657,0.14848882748475475,0.0,0.2552040015544249,0.2781689506362658,1.1315272889522612,1.0000680565524793,0.12452225524417865,1.9467731309272398,0.002453790898990559,0.006818747558995453,0.0008321159784759333,1.5951493530258827,0.25643469406435043,0.0,0.0,0.0,0.0,0.0,5,5
0427d,24,2026-01-31,EVE,@BHA,T 1-1,7.0,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,James Tarkowski,,0.0,0.0,0.0,0.0,0.0,D,2025,90.0,2070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.006280193236714976,0.0,0.5652173913043478,0.0,1.0,0.0,0.0004830917874396135,0.0,0.043478260869565216,0.0,4.0,0.0,0.001932367149758454,0.0,0.17391304347826086,1.0,19.0,0.011111111111111112,0.009178743961352657,1.0,0.8260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.001932367149758454,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.000966183574879227,0.0,0.08695652173913043,0.0,24.0,0.0,0.011594202898550725,0.0,1.0434782608695652,11.0,168.0,0.12222222222222222,0.08115942028985507,11.0,7.304347826086956,0.0,3.0,0.0,0.0014492753623188406,0.0,0.13043478260869565,1.0,33.0,0.011111111111111112,0.015942028985507246,1.0,1.434782608695652,6.0,102.0,0.06666666666666667,0.04927536231884058,6.0,4.434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.011111111111111112,0.012560386473429951,1.0,1.1304347826086956,0.0,9.0,0.0,0.004347826086956522,0.0,0.391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BHA,0.030476019385847312,0.5163804248551245,0.06786740211979368,0.12298482673172151,1.0619770353150597,0.3954425647104102,0.1711673917250751,0.0029595587386027074,0.2715376266381989,0.938076329227273,4.259654696131571,0.4151570456460743,0.3904125835439984,2.110242581003151,0.0,0.0006402048655569782,0.0027375512381005176,1.1374982602792847,0.24383327780352265,0.0,0.0,0.0,0.0,0.0,5,5
05ylj,24,,NEW,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,M,2025,0.0,1836.0,0.0,8.0,0.0,0.004357298474945534,0.0,0.3921568627450981,0.0,32.0,0.0,0.017429193899782137,0.0,1.5686274509803924,0.0,5.0,0.0,0.0027233115468409588,0.0,0.2450980392156863,0.0,16.0,0.0,0.008714596949891068,0.0,0.7843137254901962,0.0,31.0,0.0,0.016884531590413945,0.0,1.519607843137255,0.0,31.0,0.0,0.016884531590413945,0.0,1.519607843137255,0.0,4.0,0.0,0.002178649237472767,0.0,0.19607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.003812636165577342,0.0,0.3431372549019608,0.0,11.0,0.0,0.005991285403050109,0.0,0.5392156862745098,0.0,26.0,0.0,0.014161220043572984,0.0,1.2745098039215685,0.0,13.0,0.0,0.007080610021786492,0.0,0.6372549019607843,0.0,1.0,0.0,0.0005446623093681918,0.0,0.04901960784313726,0.0,11.0,0.0,0.005991285403050109,0.0,0.5392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0005446623093681918,0.0,0.04901960784313726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.014705882352941176,0.0,1.3235294117647058,0.0,6.0,0.0,0.0032679738562091504,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.03226952637691041,0.4285570313907586,0.091185670775349,0.12721886923842934,0.3781521148494004,0.4941162838085594,0.04809314352690321,0.05646272484927698,0.07459368834078066,0.31491763169939485,0.5589909110941572,0.3856235794041198,0.05206850119293092,0.3471727397511683,9.39312289853423e-05,0.01949866526724611,8.078470069417994e-05,0.7615710594993875,0.05511679139259467,0.0,0.0,0.0,0.0,0.0,5,5
06zbx,24,2026-01-31,LEE,ARS,L 0-4,8.0,80.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Anton Stach,,0.0,0.0,0.0,0.0,0.0,M,2025,84.0,1612.0,0.0,3.0,0.0,0.0018610421836228288,0.0,0.1674937965260546,2.0,43.0,0.023809523809523808,0.026674937965260544,2.142857142857143,2.400744416873449,1.0,6.0,0.011904761904761904,0.0037220843672456576,1.0714285714285714,0.3349875930521092,1.0,10.0,0.011904761904761904,0.00620347394540943,1.0714285714285714,0.5583126550868487,4.0,25.0,0.047619047619047616,0.015508684863523574,4.285714285714286,1.3957816377171217,2.0,20.0,0.023809523809523808,0.01240694789081886,2.142857142857143,1.1166253101736974,1.0,3.0,0.011904761904761904,0.0018610421836228288,1.0714285714285714,0.1674937965260546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.011904761904761904,0.005583126550868486,1.0714285714285714,0.5024813895781638,1.0,13.0,0.011904761904761904,0.008064516129032258,1.0714285714285714,0.7258064516129032,4.0,35.0,0.047619047619047616,0.021712158808933003,4.285714285714286,1.9540942928039702,0.0,12.0,0.0,0.007444168734491315,0.0,0.6699751861042184,1.0,7.0,0.011904761904761904,0.004342431761786601,1.0714285714285714,0.39081885856079407,3.0,31.0,0.03571428571428571,0.019230769230769232,3.214285714285714,1.7307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,0.011904761904761904,0.017990074441687345,1.0714285714285714,1.619106699751861,0.0,3.0,0.0,0.0018610421836228288,0.0,0.1674937965260546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ARS,0.10436959466369194,1.1032874105217525,0.15887836258613725,0.5110026839577744,1.0878015362649505,1.040764554024177,0.18288510331947053,0.041913999215986986,0.29369195846662116,0.8254196590034674,1.5356658111454453,0.8311738876655961,0.2350961893871337,1.3078775635487985,0.0010376117199440134,0.00992386449945891,0.0007589812784617979,1.2309986426239374,0.27520021906230896,0.0,0.0,0.0,0.0,0.0,5,5
068ym,24,2026-01-31,CHE,WHU,W 3-2,11.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,Enzo Fernandez,,0.0,0.0,0.0,0.0,0.0,M,2025,90.0,1873.0,1.0,7.0,0.011111111111111112,0.0037373198077949813,1.0,0.33635878270154834,1.0,37.0,0.011111111111111112,0.019754404698344902,1.0,1.7778964228510412,0.0,3.0,0.0,0.001601708489054992,0.0,0.14415376401494928,1.0,19.0,0.011111111111111112,0.01014415376401495,1.0,0.9129738387613455,0.0,20.0,0.0,0.010678056593699947,0.0,0.9610250934329952,2.0,29.0,0.022222222222222223,0.015483182060864922,2.0,1.393486385477843,0.0,5.0,0.0,0.0026695141484249867,0.0,0.2402562733582488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.011111111111111112,0.001601708489054992,1.0,0.14415376401494928,0.0,11.0,0.0,0.0058729311265349705,0.0,0.5285638013881473,3.0,21.0,0.03333333333333333,0.011211959423384944,3.0,1.009076348104645,0.0,8.0,0.0,0.004271222637479978,0.0,0.38441003737319807,0.0,1.0,0.0,0.0005339028296849973,0.0,0.04805125467164976,0.0,19.0,0.0,0.01014415376401495,0.0,0.9129738387613455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.011111111111111112,0.011745862253069941,1.0,1.0571276027762946,0.0,8.0,0.0,0.004271222637479978,0.0,0.38441003737319807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,WHU,0.11554992377836795,1.0102808891588975,0.1443955605333682,0.4361797388132553,1.043045319950159,0.9128445538512948,0.14608228251030247,0.0809315747453649,0.3241872319844361,0.6337457444415202,1.1168965836738232,0.777707439685652,0.19430597100457989,0.7871927699877255,0.0014145718929916237,0.009291484176061071,0.0015335864516966076,1.0768454717403981,0.29350784273188896,0.0,0.0,0.0,0.0,0.0,5,5
06znb,24,2026-02-02,SUN,BUR,W 3-0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Robin Roefs,,0.0,0.0,0.0,1.0,0.0,G,2025,90.0,2070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.001932367149758454,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.000966183574879227,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.011111111111111112,0.011111111111111112,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.011111111111111112,0.008695652173913044,1.0,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.003381642512077295,0.0,0.30434782608695654,3.0,26.0,0.03333333333333333,0.012560386473429951,3.0,1.1304347826086956,2.0,76.0,0.022222222222222223,0.03671497584541063,2.0,3.3043478260869565,0.0,1.0,0.0,0.0004830917874396135,0.0,0.043478260869565216,1.0,36.0,0.011111111111111112,0.017391304347826087,1.0,1.565217391304348,0.0,3.0,0.0,0.0014492753623188406,0.0,0.13043478260869565,0,BUR,0.0,0.04022668348519156,0.004336379592083762,0.0,0.008622949907816166,0.0,0.05671479402844493,0.00321153297173851,0.0,0.010200780283566467,1.1509497089211387,0.004385964912280702,0.0,0.39341267061790747,0.0,0.0,0.0016977928692699493,0.0,0.21820922112850194,1.0509171569449332,2.0391241536317333,0.007686022663291345,0.6543308444913113,0.126949915319825,5,5
