date,team,opp,score,fpts,min,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,cs,player_id,player_name,ga,sv,pks,hcs,sm,season_x,matchweek,home_ind,scorerId,position,calc_fpts,apts,minutes,last_minutes,season_minutes,last_fpts,season_fpts,fpts_per_min_gameweek,fpts_per_min_season,fpts_per_90_gameweek,fpts_per_90_season,last_apts,season_apts,apts_per_min_gameweek,apts_per_min_season,apts_per_90_gameweek,apts_per_90_season,last_g,season_g,g_per_min_gameweek,g_per_min_season,g_per_90_gameweek,g_per_90_season,last_kp,season_kp,kp_per_min_gameweek,kp_per_min_season,kp_per_90_gameweek,kp_per_90_season,last_at,season_at,at_per_min_gameweek,at_per_min_season,at_per_90_gameweek,at_per_90_season,last_sot,season_sot,sot_per_min_gameweek,sot_per_min_season,sot_per_90_gameweek,sot_per_90_season,last_tkw,season_tkw,tkw_per_min_gameweek,tkw_per_min_season,tkw_per_90_gameweek,tkw_per_90_season,last_dis,season_dis,dis_per_min_gameweek,dis_per_min_season,dis_per_90_gameweek,dis_per_90_season,last_acnc,season_acnc,acnc_per_min_gameweek,acnc_per_min_season,acnc_per_90_gameweek,acnc_per_90_season,last_int,season_int,int_per_min_gameweek,int_per_min_season,int_per_90_gameweek,int_per_90_season,last_clr,season_clr,clr_per_min_gameweek,clr_per_min_season,clr_per_90_gameweek,clr_per_90_season,last_cos,season_cos,cos_per_min_gameweek,cos_per_min_season,cos_per_90_gameweek,cos_per_90_season,last_bs,season_bs,bs_per_min_gameweek,bs_per_min_season,bs_per_90_gameweek,bs_per_90_season,last_aer,season_aer,aer_per_min_gameweek,aer_per_min_season,aer_per_90_gameweek,aer_per_90_season,last_gao,season_gao,gao_per_min_gameweek,gao_per_min_season,gao_per_90_gameweek,gao_per_90_season,last_cs,season_cs,cs_per_min_gameweek,cs_per_min_season,cs_per_90_gameweek,cs_per_90_season,last_sv,season_sv,sv_per_min_gameweek,sv_per_min_season,sv_per_90_gameweek,sv_per_90_season,last_pks,season_pks,pks_per_min_gameweek,pks_per_min_season,pks_per_90_gameweek,pks_per_90_season,last_hcs,season_hcs,hcs_per_min_gameweek,hcs_per_min_season,hcs_per_90_gameweek,hcs_per_90_season,last_sm,season_sm,sm_per_min_gameweek,sm_per_min_season,sm_per_90_gameweek,sm_per_90_season,fantrax_projection,positional_avg_fpts_per_90_gameweek,positional_avg_fpts_per_90_season,positional_avg_apts_per_90_gameweek,positional_avg_apts_per_90_season,positional_avg_g_per_90_gameweek,positional_avg_g_per_90_season,positional_avg_kp_per_90_gameweek,positional_avg_kp_per_90_season,positional_avg_at_per_90_gameweek,positional_avg_at_per_90_season,positional_avg_sot_per_90_gameweek,positional_avg_sot_per_90_season,positional_avg_tkw_per_90_gameweek,positional_avg_tkw_per_90_season,positional_avg_dis_per_90_gameweek,positional_avg_dis_per_90_season,positional_avg_acnc_per_90_gameweek,positional_avg_acnc_per_90_season,positional_avg_int_per_90_gameweek,positional_avg_int_per_90_season,positional_avg_clr_per_90_gameweek,positional_avg_clr_per_90_season,positional_avg_cos_per_90_gameweek,positional_avg_cos_per_90_season,positional_avg_bs_per_90_gameweek,positional_avg_bs_per_90_season,positional_avg_aer_per_90_gameweek,positional_avg_aer_per_90_season,positional_avg_gao_per_90_gameweek,positional_avg_gao_per_90_season,positional_avg_cs_per_90_gameweek,positional_avg_cs_per_90_season,positional_avg_sv_per_90_gameweek,positional_avg_sv_per_90_season,positional_avg_pks_per_90_gameweek,positional_avg_pks_per_90_season,positional_avg_hcs_per_90_gameweek,positional_avg_hcs_per_90_season,positional_avg_sm_per_90_gameweek,positional_avg_sm_per_90_season,last_score,team_result,season_y,table_points_x,last_week_goals_for,last_week_goals_against,total_team_goals_for,total_team_goals_against,goal_differential,table_points_y,team_week_standing,table_points,team_week_standing_opp
2026-01-24,BOU,LIV,W 3-2,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,072pc,Alex Tóth,0,0,0,0,0,2025,23,False,072pc,M,0.0,0.0,4,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,9.661764705882353,8.825294117647061,8.421428571428573,7.76025,0.039285714285714285,0.09914062500000001,1.074285714285714,1.0785826771653542,0.08357142857142857,0.12428571428571428,0.2537007874015748,0.36428571428571427,0.8435714285714286,1.0257142857142858,0.6571428571428573,0.9700000000000001,0.19714285714285715,0.2990551181102363,0.46785714285714286,0.6300000000000001,1.14,1.2964285714285715,0.47785714285714287,0.6971428571428572,0.1551968503937008,0.20834645669291338,0.9276377952755905,0.845,1.0934645669291336,1.123571428571428,0.18921259842519683,0.3053076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L 0-0,0,2025,27,0,0,0,0,0,27,14,36,4
2026-01-24,WHU,SUN,W 3-1,13.0,74,0,1,1,2,2,0,1,0,0,0,3,0,0,2,0,0,0,1,0,072jf,Valentin Castellanos,0,0,0,0,0,2025,23,False,072jf,F,13.0,13.0,74,88.0,178.0,0.5,7.0,0.006,0.039,0.54,3.51,0.5,7.0,0.006,0.039,0.54,3.51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.011,0.017,0.99,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.006,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.006,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.006,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.011,0.017,0.99,1.53,1.0,3.0,0.011,0.017,0.99,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.41,8.4275,8.940422535211265,6.518750000000001,6.853943661971831,0.11520000000000001,0.20605263157894738,0.7223999999999999,0.8751315789473685,0.042,0.10539473684210526,0.7091999999999999,0.831038961038961,0.3096,0.5376,1.3272,1.5000000000000002,0.055200000000000006,0.18947368421052632,0.23844155844155843,0.23921052631578943,0.7632000000000001,0.8592,0.5519999999999999,0.9504,0.03857142857142857,0.0756,1.2732,1.5732,1.2131999999999998,1.9112500000000001,0.18480000000000002,0.1776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W 2-1,3,2025,17,2,1,3,3,0,17,18,33,9
2026-01-24,WHU,SUN,W 3-1,0.5,69,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,072j8,Pablo Felipe Pereira de Jesus,0,0,0,0,0,2025,23,False,072j8,F,0.5,0.5,69,78.0,104.0,6.0,8.5,0.077,0.082,6.93,7.38,6.0,8.5,0.077,0.082,6.93,7.38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.013,0.019,1.17,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.013,0.019,1.17,1.71,3.0,4.0,0.038,0.038,3.42,3.42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.013,0.01,1.17,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.09,0.067,8.1,6.03,1.0,2.0,0.013,0.019,1.17,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.4275,8.940422535211265,6.518750000000001,6.853943661971831,0.11520000000000001,0.20605263157894738,0.7223999999999999,0.8751315789473685,0.042,0.10539473684210526,0.7091999999999999,0.831038961038961,0.3096,0.5376,1.3272,1.5000000000000002,0.055200000000000006,0.18947368421052632,0.23844155844155843,0.23921052631578943,0.7632000000000001,0.8592,0.5519999999999999,0.9504,0.03857142857142857,0.0756,1.2732,1.5732,1.2131999999999998,1.9112500000000001,0.18480000000000002,0.1776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W 2-1,3,2025,17,2,1,3,3,0,17,18,33,9
2026-01-24,MCI,WOL,W 2-0,11.25,90,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,070hs,Gianluigi Donnarumma,0,1,0,0,0,2025,23,False,070hs,G,11.25,11.25,90,90.0,1710.0,9.25,142.5,0.103,0.083,9.27,7.470000000000001,9.25,142.5,0.103,0.083,9.27,7.470000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.011,0.015,0.99,1.3499999999999999,0.0,2.0,0.0,0.001,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.005,0.0,0.45,2.0,17.0,0.022,0.01,1.98,0.9,0.0,8.0,0.0,0.005,0.0,0.45,5.0,43.0,0.056,0.025,5.04,2.25,0.0,1.0,0.0,0.001,0.0,0.09,1.0,6.0,0.011,0.004,0.99,0.36,2.0,5.0,0.022,0.003,1.98,0.27,10.26,7.735263157894737,7.361052631578948,7.735263157894737,7.3705263157894745,0.0,0.0,0.0,0.03681818181818181,0.0,0.00818181818181818,0.0,0.0,0.0,0.019565217391304346,0.0,0.0,0.0,0.0,0.0,0.0,1.2599999999999998,1.198421052631579,0.0,0.00818181818181818,0.0,0.0,0.45,0.4121052631578947,1.1785714285714284,1.23,0.25826086956521743,0.2485714285714286,3.0722727272727273,2.728421052631579,0.0,0.017142857142857144,1.035,0.8442857142857141,0.13499999999999998,0.09818181818181819,L 0-2,0,2025,43,0,2,40,17,23,43,2,8,20
2026-01-25,ARS,MUN,L 2-3,-1.0,57,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,2,0,070hq,Piero Hincapié,0,0,0,0,0,2025,23,False,070hq,D,-1.0,-1.0,57,56.0,887.0,3.0,60.5,0.054,0.068,4.86,6.12,3.0,48.5,0.054,0.055,4.86,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.005,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.018,0.011,1.6199999999999999,0.99,0.0,2.0,0.0,0.002,0.0,0.18,0.0,2.0,0.0,0.002,0.0,0.18,2.0,14.0,0.036,0.016,3.2399999999999998,1.44,0.0,42.0,0.0,0.047,0.0,4.23,0.0,1.0,0.0,0.001,0.0,0.09,0.0,5.0,0.0,0.006,0.0,0.54,0.0,21.0,0.0,0.024,0.0,2.16,0.0,9.0,0.0,0.01,0.0,0.9,0.0,2.0,0.0,0.002,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.37,6.0470999999999995,6.327623762376237,4.060800000000001,4.5198,0.0,0.016822429906542057,0.16896226415094337,0.44250000000000006,0.0,0.040458715596330276,0.0825,0.11632075471698111,0.8312264150943396,1.0197169811320754,0.20775700934579439,0.37345794392523374,0.07471698113207548,0.21735849056603776,0.7497169811320754,0.9571962616822431,3.1735514018691586,4.158,0.2275,0.3387735849056604,0.23500000000000001,0.3908333333333334,1.2795283018867927,1.7583962264150945,0.9208333333333335,1.3643999999999996,0.23130841121495324,0.20801886792452828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T 0-0,1,2025,50,0,0,23,9,14,50,1,35,5
2026-01-25,MUN,ARS,W 3-2,6.75,90,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,070hl,Senne Lammens,2,3,0,3,1,2025,23,True,070hl,G,6.75,6.75,90,90.0,1440.0,11.25,69.5,0.125,0.048,11.25,4.32,11.25,69.5,0.125,0.048,11.25,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.011,0.007,0.99,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.003,0.0,0.27,0.0,21.0,0.0,0.015,0.0,1.3499999999999999,1.0,3.0,0.011,0.002,0.99,0.18,1.0,34.0,0.011,0.024,0.99,2.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.011,0.008,0.99,0.72,0.0,0.0,0.0,0.0,0.0,0.0,,5.809499999999999,6.894,5.809499999999999,6.93,0.0,0.0,0.0,0.01636363636363636,0.0,0.0,0.0,0.0,0.0,0.01875,0.0,0.0,0.0,0.0,0.0,0.0,1.305,1.1614285714285713,0.0,0.007826086956521738,0.0,0.0,0.21521739130434783,0.35608695652173905,1.2149999999999996,1.2690000000000001,0.28875,0.24954545454545451,2.5585714285714283,2.5650000000000004,0.0,0.022500000000000003,0.63,0.8280000000000001,0.165,0.12681818181818183,W 2-0,3,2025,35,2,0,31,21,10,35,5,50,1
2026-01-24,FUL,BHA,W 2-1,13.0,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,070hk,Samuel Chukwueze,0,0,0,0,0,2025,23,False,070hk,F,13.0,4.0,30,90.0,388.0,11.0,85.5,0.122,0.22,10.98,19.8,11.0,67.5,0.122,0.174,10.98,15.659999999999998,0.0,2.0,0.0,0.005,0.0,0.45,1.0,11.0,0.011,0.028,0.99,2.52,1.0,4.0,0.011,0.01,0.99,0.9,0.0,3.0,0.0,0.008,0.0,0.72,0.0,1.0,0.0,0.003,0.0,0.27,0.0,8.0,0.0,0.021,0.0,1.8900000000000001,0.0,1.0,0.0,0.003,0.0,0.27,1.0,2.0,0.011,0.005,0.99,0.45,3.0,5.0,0.033,0.013,2.97,1.17,1.0,14.0,0.011,0.036,0.99,3.2399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.022,0.008,1.98,0.72,2.0,10.0,0.022,0.026,1.98,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.930172413793104,9.69157894736842,6.775263157894738,6.67578947368421,0.16693548387096774,0.27149999999999996,0.684,0.8384999999999999,0.04790322580645161,0.09000000000000001,0.5025,0.8340000000000001,0.34199999999999997,0.4755,0.9600000000000001,1.275,0.04790322580645161,0.16499999999999998,0.117,0.24449999999999997,0.6915,0.972,0.6330000000000001,0.8625,0.0345,0.10499999999999998,1.419,1.635,0.8415,1.3706557377049178,0.15600000000000003,0.24599999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W 3-2,3,2025,31,3,2,16,18,-2,31,11,30,12
2026-01-24,FUL,BHA,W 2-1,5.0,58,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,070hj,Kevin Santos Lopes de Macedo,0,0,0,0,0,2025,23,False,070hj,F,5.0,5.0,58,24.0,721.0,0.5,101.0,0.021,0.14,1.8900000000000001,12.600000000000001,0.5,101.0,0.021,0.14,1.8900000000000001,12.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.014,0.0,1.26,0.0,2.0,0.0,0.003,0.0,0.27,0.0,8.0,0.0,0.011,0.0,0.99,0.0,6.0,0.0,0.008,0.0,0.72,0.0,17.0,0.0,0.024,0.0,2.16,0.0,10.0,0.0,0.014,0.0,1.26,0.0,8.0,0.0,0.011,0.0,0.99,0.0,5.0,0.0,0.007,0.0,0.63,0.0,34.0,0.0,0.047,0.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.042,0.01,3.7800000000000002,0.9,1.0,11.0,0.042,0.015,3.7800000000000002,1.3499999999999999,0.0,4.0,0.0,0.006,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,8.930172413793104,9.69157894736842,6.775263157894738,6.67578947368421,0.16693548387096774,0.27149999999999996,0.684,0.8384999999999999,0.04790322580645161,0.09000000000000001,0.5025,0.8340000000000001,0.34199999999999997,0.4755,0.9600000000000001,1.275,0.04790322580645161,0.16499999999999998,0.117,0.24449999999999997,0.6915,0.972,0.6330000000000001,0.8625,0.0345,0.10499999999999998,1.419,1.635,0.8415,1.3706557377049178,0.15600000000000003,0.24599999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L 0-1,0,2025,31,0,1,25,25,0,31,11,30,12
2026-01-25,CRY,CHE,L 1-3,-0.5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,070hh,Christantus Uche,0,0,0,0,0,2025,23,False,070hh,M,-0.5,-0.5,4,17.0,101.0,-1.0,13.5,-0.059,0.134,-5.31,12.06,-1.0,13.5,-0.059,0.134,-5.31,12.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.0,0.9,0.0,2.0,0.0,0.02,0.0,1.8,0.0,1.0,0.0,0.01,0.0,0.9,2.0,4.0,0.118,0.04,10.62,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.059,0.01,5.31,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.05,0.0,4.5,1.0,4.0,0.059,0.04,5.31,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.233953488372093,8.531428571428572,7.071627906976744,7.328571428571427,0.05171641791044776,0.1038970588235294,0.7253731343283583,1.0262686567164179,0.06503649635036496,0.12441176470588236,0.35462686567164176,0.3908955223880597,1.0538059701492535,1.0222388059701495,0.7401492537313432,0.9604477611940297,0.08328358208955224,0.27459854014598545,0.4614179104477612,0.6372794117647058,1.0746268656716418,1.2317910447761193,0.5586666666666665,0.7160000000000001,0.09201492537313434,0.16874999999999998,0.8187313432835821,0.9584328358208956,1.1202985074626866,1.3655905511811024,0.13733333333333336,0.2527941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L 0-2,0,2025,28,0,2,6,17,-11,28,13,34,6
2026-01-24,WOL,MCI,L 0-2,1.5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,070hd,Tolu Arokodare,0,0,0,0,0,2025,23,True,070hd,F,1.5,1.5,18,64.0,721.0,2.5,74.0,0.039,0.103,3.51,9.27,2.5,65.0,0.039,0.09,3.51,8.1,0.0,1.0,0.0,0.001,0.0,0.09,0.0,8.0,0.0,0.011,0.0,0.99,0.0,1.0,0.0,0.001,0.0,0.09,0.0,4.0,0.0,0.006,0.0,0.54,0.0,2.0,0.0,0.003,0.0,0.27,0.0,11.0,0.0,0.015,0.0,1.3499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.004,0.0,0.36,1.0,20.0,0.016,0.028,1.44,2.52,1.0,12.0,0.016,0.017,1.44,1.53,0.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,0.047,0.071,4.23,6.39,0.0,17.0,0.0,0.024,0.0,2.16,1.0,2.0,0.016,0.003,1.44,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.998750000000001,10.0475,6.84125,7.347945205479451,0.1453846153846154,0.22792207792207794,0.7024675324675325,0.9484615384615385,0.05076923076923077,0.11688311688311687,0.6253246753246754,0.7580769230769231,0.32025974025974024,0.4570129870129871,0.9507692307692307,1.3184415584415585,0.1390909090909091,0.24662337662337666,0.09467532467532469,0.21576923076923074,0.7270129870129871,0.9198701298701298,0.8665384615384614,0.8731168831168832,0.0,0.0796153846153846,1.2833766233766233,1.493076923076923,0.9327272727272726,1.268181818181818,0.1285714285714286,0.2517721518987342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T 0-0,1,2025,8,0,0,13,30,-17,8,20,43,2
2026-01-24,SUN,WHU,L 1-3,11.5,90,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,070hc,Brian Brobbey,0,0,0,0,0,2025,23,True,070hc,F,11.5,2.5,90,83.0,772.0,16.0,80.0,0.193,0.104,17.37,9.36,7.0,44.0,0.084,0.057,7.5600000000000005,5.13,1.0,4.0,0.012,0.005,1.08,0.45,1.0,4.0,0.012,0.005,1.08,0.45,0.0,1.0,0.0,0.001,0.0,0.09,1.0,7.0,0.012,0.009,1.08,0.8099999999999999,0.0,1.0,0.0,0.001,0.0,0.09,0.0,11.0,0.0,0.014,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.008,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.012,0.003,1.08,0.27,4.0,37.0,0.048,0.048,4.32,4.32,1.0,9.0,0.012,0.012,1.08,1.08,0.0,3.0,0.0,0.004,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.352608695652174,8.43,5.928260869565218,6.1025,0.0715068493150685,0.25799999999999995,0.5745205479452055,0.8294594594594595,0.06445945945945945,0.09608108108108107,0.5806849315068493,0.7286301369863013,0.3920547945205479,0.41547945205479453,1.5312328767123289,1.2883561643835617,0.06780821917808219,0.21821917808219177,0.11835616438356165,0.23594594594594595,0.7508219178082192,0.9493150684931506,1.0447297297297298,0.9875342465753425,0.0,0.06657534246575342,1.2464383561643837,1.513972602739726,1.2283783783783784,1.1083561643835615,0.10109589041095891,0.22931506849315067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W 2-1,3,2025,33,2,1,15,19,-4,33,9,17,18
2026-01-25,CRY,CHE,L 1-3,-2.5,64,0,0,0,0,2,0,1,0,0,1,2,0,0,2,0,0,0,3,0,070hb,Jaydee Canvot,0,0,0,0,0,2025,23,False,070hb,D,-2.5,-2.5,64,90.0,284.0,13.0,33.5,0.144,0.118,12.959999999999999,10.62,7.0,21.5,0.078,0.076,7.02,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.033,0.025,2.97,2.25,1.0,2.0,0.011,0.007,0.99,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.011,0.0,0.99,6.0,26.0,0.067,0.092,6.03,8.28,1.0,1.0,0.011,0.004,0.99,0.36,1.0,4.0,0.011,0.014,0.99,1.26,1.0,7.0,0.011,0.025,0.99,2.25,0.0,3.0,0.0,0.011,0.0,0.99,1.0,2.0,0.011,0.007,0.99,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.010545454545455,5.740183486238531,4.0311818181818175,4.337339449541285,0.0,0.020826446280991735,0.28086206896551724,0.40655172413793106,0.0,0.04388429752066116,0.06655462184873949,0.09232758620689654,0.9535344827586207,0.9938793103448278,0.16215517241379312,0.34461538461538466,0.18756302521008403,0.23275862068965517,0.890924369747899,0.9,4.1850000000000005,4.481009174311927,0.24439655172413793,0.34448275862068967,0.35625,0.39966101694915257,1.3957758620689655,1.871834862385321,1.489159663865546,1.4878899082568806,0.15418032786885244,0.1753846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T 0-0,1,2025,28,0,0,8,4,4,28,13,34,6
2026-01-24,BUR,TOT,T 2-2,3.0,68,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,1,0,070ha,Florentino Ibrain Morris Luís,0,0,0,0,0,2025,23,False,070ha,M,3.0,3.0,68,88.0,1397.0,13.0,104.5,0.148,0.075,13.319999999999999,6.75,13.0,104.5,0.148,0.075,13.319999999999999,6.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.011,0.006,0.99,0.54,1.0,2.0,0.011,0.001,0.99,0.09,0.0,1.0,0.0,0.001,0.0,0.09,3.0,38.0,0.034,0.027,3.06,2.43,0.0,10.0,0.0,0.007,0.0,0.63,0.0,1.0,0.0,0.001,0.0,0.09,0.0,23.0,0.0,0.016,0.0,1.44,3.0,39.0,0.034,0.028,3.06,2.52,0.0,6.0,0.0,0.004,0.0,0.36,0.0,6.0,0.0,0.004,0.0,0.36,4.0,15.0,0.045,0.011,4.05,0.99,1.0,30.0,0.011,0.021,0.99,1.8900000000000001,0.0,2.0,0.0,0.001,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,9.022857142857143,9.100975609756098,7.902857142857143,7.87390243902439,0.07443609022556391,0.10431818181818181,1.0093846153846153,1.1035384615384614,0.11165413533834585,0.12886363636363635,0.3004615384615385,0.38699999999999996,0.9470769230769231,1.08412213740458,1.1547692307692308,1.057153846153846,0.1633846153846154,0.27204545454545453,0.5296946564885497,0.6853846153846155,1.25793893129771,1.1658778625954198,0.6486923076923077,0.7733076923076924,0.21721804511278195,0.17653846153846153,0.8840769230769231,0.8216793893129772,1.0197692307692308,1.1956153846153847,0.2525373134328358,0.28099236641221376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T 1-1,1,2025,14,1,1,18,35,-17,14,19,27,15
